candidate_id,strategy,seed,bundle_size_target,n_bundles,avg_qualifiers_shown,avg_qualifier_time_seconds,total_respondents_used,all_categories_hit_target,min_completes,mean_interview_seconds,p95_interview_seconds,avg_surveys_per_respondent,share_2plus_surveys,share_3plus_surveys,max_exposure_deviation
22,difficulty_balanced,2,25,4,19.25,28.875,8700,True,200,221.4623743863378,473.18664199579507,1.7701149425287357,0.4654022988505747,0.4286206896551724,0.007102084277299503
22,difficulty_balanced,3,25,4,19.25,28.875,8053,True,200,236.94333256688674,473.361697061453,1.9123308083943873,0.5041599403948839,0.4635539550478083,0.006842185686653773
23,difficulty_balanced,1,25,4,19.25,28.875,7560,True,200,250.52336734935702,474.12265450791455,2.037037037037037,0.5338624338624338,0.4935185185185185,0.009604957983193278
23,difficulty_balanced,2,25,4,19.25,28.875,8700,True,200,221.4623743863378,473.18664199579507,1.7701149425287357,0.4654022988505747,0.4286206896551724,0.007102084277299503
23,difficulty_balanced,3,25,4,19.25,28.875,8053,True,200,236.94333256688674,473.361697061453,1.9123308083943873,0.5041599403948839,0.4635539550478083,0.006842185686653773
24,difficulty_balanced,1,25,4,19.25,28.875,7560,True,200,250.52336734935702,474.12265450791455,2.037037037037037,0.5338624338624338,0.4935185185185185,0.009604957983193278
24,difficulty_balanced,2,25,4,19.25,28.875,8700,True,200,221.4623743863378,473.18664199579507,1.7701149425287357,0.4654022988505747,0.4286206896551724,0.007102084277299503
24,difficulty_balanced,3,25,4,19.25,28.875,8053,True,200,236.94333256688674,473.361697061453,1.9123308083943873,0.5041599403948839,0.4635539550478083,0.006842185686653773
25,similarity_clustered,1,25,4,19.25,28.875,8904,True,200,217.14012322115218,474.6795675193425,1.729559748427673,0.4468778077268643,0.41565588499550765,0.010206462824461065
25,similarity_clustered,2,25,4,19.25,28.875,8418,True,200,228.16300275138263,474.8897759219399,1.8294131622713234,0.47505345687811834,0.44226657163221667,0.007647020447906522
25,similarity_clustered,3,25,4,19.25,28.875,8383,True,200,229.09485353228425,475.09498673141934,1.8370511749970178,0.4770368603125373,0.44292019563402124,0.006477126436781611
